_id,Name,Age,Breed,Image,Bio
67a4daeca12233ecbb99e05c,Rocky,5,Pastore Tedesco,https://i.postimg.cc/zGHhpsVX/welsh-springer-spaniel.avif,"Intelligente e protettivo, perfetto per la guardia."
67a4daeca12233ecbb99e07b,Oscar,3,Pinscher,https://i.postimg.cc/c4vzH95G/karsten-winegeart-BJaq-Pa-H6-AGQ-unsplash.jpg,"Piccolo ma coraggioso, sempre vigile e attento."
67a4daeca12233ecbb99e063,Bruno,5,Rottweiler,https://i.postimg.cc/Yqdc8PTV/bernese-mountain-dog.avif,"Leale e protettivo, ma dolce con la famiglia."
67a4daeca12233ecbb99e067,Nala,2,Husky Siberiano,https://i.postimg.cc/bvXmRHYW/gettyimages-179494696.avif,"Indipendente e giocosa, ha bisogno di molto esercizio."
67a4daeca12233ecbb99e072,Apollo,3,Dalmata,https://i.postimg.cc/CxKR6W5f/little-cute-maltipoo-puppy-royalty-free-image-1652926025.avif,"Energico e amichevole, ama giocare all'aperto."
67a4daeca12233ecbb99e075,Luna,5,Weimaraner,https://i.postimg.cc/XqRkX8pn/karsten-winegeart-nwe2qg-Ah-T4k-unsplash.jpg,"Molto attiva e affettuosa, ha bisogno di tanto esercizio."
67a4daeca12233ecbb99e05b,Luna,3,Labrador Retriever,https://i.postimg.cc/wjyYCTdJ/gallery-1495031140-gettyimages-573950777.avif,"Affettuosa e giocherellona, ama stare con le persone."
67a4daeca12233ecbb99e066,Bobby,3,Cocker Spaniel,https://i.postimg.cc/ncPRXfyH/gettyimages-149263578.avif,"Allegro e vivace, ama correre nei prati."
67a4daeca12233ecbb99e06b,Lilly,3,Cavalier King Charles Spaniel,https://i.postimg.cc/6TJ8P37W/pit-bull.avif,"Dolce e affettuosa, perfetta per la compagnia."
67a4daeca12233ecbb99e079,Nina,2,Whippet,https://i.postimg.cc/qB5m9cBb/ash-v0-MCll-HY9-M-unsplash.jpg,"Elegante e veloce, adora correre nei parchi."
67a4daeca12233ecbb99e05e,Max,4,Bulldog Inglese,https://i.postimg.cc/2yqjrDp1/1500912970-shiba-inu.avif,"Pigro ma affettuoso, adora stare sul divano."
67a4daeca12233ecbb99e06c,Duke,4,Alano,https://i.postimg.cc/5NLg2QSm/australian-shepherd.avif,"Gigante buono, molto affettuoso con la famiglia."
67a4daeca12233ecbb99e06d,Maya,2,Samoyedo,https://i.postimg.cc/V6JBQJNn/pembroke-welsh-corgi.avif,"Sempre sorridente, ama giocare con tutti."
67a4daeca12233ecbb99e078,Diesel,4,Boxer,https://i.postimg.cc/hPQCgJfS/alvan-nee-8g0-D8-Zf-FXy-A-unsplash.jpg,"Protettivo ma dolce, adatto a famiglie attive."
67a4daeca12233ecbb99e05d,Bella,2,Golden Retriever,https://i.postimg.cc/Pf68HXD5/soft-coated-wheaten-terrier.avif,"Dolce e socievole, ama i bambini."
67a4daeca12233ecbb99e065,Rex,7,Dobermann,https://i.postimg.cc/vTPP7JDt/dachshund.avif,"Forte e coraggioso, ma molto fedele al padrone."
67a4daeca12233ecbb99e06e,Zeus,6,Pitbull,https://i.postimg.cc/dVWysJpB/gettyimages-464163411.avif,"Molto fedele e protettivo, ha bisogno di una guida sicura."
67a4daeca12233ecbb99e071,Argo,5,Mastino Napoletano,https://i.postimg.cc/HsdcbJCz/chow-chow-portrait-royalty-free-image-1652926953.avif,"Calmo e protettivo, un perfetto guardiano."
67a4daeca12233ecbb99e068,Oscar,6,Bassotto,https://i.postimg.cc/SRKdKgV2/gettyimages-147786673.avif,"Determinato e curioso, ama scavare e inseguire."
67a4daeca12233ecbb99e073,Ginger,2,Bulldog Francese,https://i.postimg.cc/N0GX6Kqm/download-1.jpg,"Affettuosa e socievole, perfetta per la vita in appartamento."
67a4daeca12233ecbb99e062,Coco,4,Barboncino,https://i.postimg.cc/BQS9T37H/dalmatian.avif,"Elegante e amichevole, si adatta bene alla vita in appartamento."
67a4daeca12233ecbb99e070,Leo,4,Shiba Inu,https://i.postimg.cc/d3mhzFGG/shih-tzu-little-dog-royalty-free-image-1652927214.avif,"Vivace e astuto, ama le passeggiate lunghe."
67a4daeca12233ecbb99e076,Jack,3,Australian Shepherd,https://i.postimg.cc/mDrwnkvW/jamie-street-DZ3ixp-NPt7c-unsplash.jpg,"Estremamente intelligente e agile, perfetto per l'addestramento."
67a4daeca12233ecbb99e05f,Daisy,1,Beagle,https://i.postimg.cc/26gyq67Q/portuguese-water-dog.avif,"Curiosa ed energica, sempre pronta all'avventura."
67a4daeca12233ecbb99e074,Thor,4,Schnauzer,https://i.postimg.cc/kG6ynZMj/ralu-gal-G8c-B8h-Y3yv-U-unsplash.jpg,"Intelligente e leale, ottimo cane da guardia."
67a4daeca12233ecbb99e07a,Simba,5,San Bernardo,https://i.postimg.cc/j2LMD2c4/david-lezcano-m-Doa-GTr-Uw-unsplash.jpg,"Gigante buono, molto paziente e affettuoso."
67a4daeca12233ecbb99e060,Charlie,6,Border Collie,https://i.postimg.cc/52XBTHkJ/1500303002-cairn-terrier.avif,"Estremamente intelligente e attivo, perfetto per lo sport."
67a4daeca12233ecbb99e069,Zoe,4,Chihuahua,https://i.postimg.cc/KcsrNrJf/shetland-sheep-dog.avif,"Piccola ma coraggiosa, ama stare in braccio."
67a4daeca12233ecbb99e077,Maggie,6,Papillon,https://i.postimg.cc/Gmkq8ZFV/richard-brutyo-Sg3-Xwu-Epyb-U-unsplash.jpg,"Vivace e allegra, ama stare con la famiglia."
67a4daeca12233ecbb99e064,Sophie,2,Shih Tzu,https://i.postimg.cc/sgxkLcr2/gallery-gettyimages-485681215.avif,"Affettuosa e testarda, ama essere coccolata."
67a4daeca12233ecbb99e06f,Kira,3,Akita Inu,https://i.postimg.cc/76zGn06s/lonely-pug-royalty-free-image-1652974264.avif,"Indipendente ma fedele, molto dignitosa."
67a4daeca12233ecbb99e061,Milo,3,Jack Russell Terrier,https://i.postimg.cc/LsYMJVCW/labrador-retriever.avif,"Vivace e testardo, ama correre e giocare."
67a4daeca12233ecbb99e06a,Tyson,5,Dogo Argentino,https://i.postimg.cc/zXbwPbQr/gettyimages-462376265.avif,"Forte e leale, ha bisogno di un padrone esperto."
